Bter_ID,Mated_3,Mated_4,Mated_17,Mated_18,Mated_22,Diapause_33,Diapause_34,Diapause_35,Diapause_36,Diapause_37,Founder_Diapause_40,Founder_Diapause_41,Founder_Diapause_42,Founder_Diapause_80,Founder_Diapause_83
LOC100642680,1207,458,2123,1691,2458,936,3212,2642,2638,2974,461,921,666,749,587
LOC100648495,129,18,202,113,209,206,116,53,99,98,111,249,189,308,216
LOC100651339,109,33,198,135,195,172,114,82,74,95,140,182,388,134,154
LOC100647380,113,34,196,105,287,207,104,109,63,217,458,252,286,442,419
LOC100648078,186,77,215,220,160,229,766,564,978,685,11,119,77,79,125
LOC100650035,638,17,425,50,726,151,418,126,460,133,51,271,319,526,699
LOC100646533,20,19,26,25,23,10,6,6,9,13,59,9,49,25,20
LOC100651207,77,16,69,73,76,57,32,35,40,37,4,25,8,15,24
LOC100651057,439,102,1058,605,1137,1021,394,267,245,692,1232,650,1339,1702,1159
LOC100651330,283,101,352,363,269,269,1016,743,963,823,41,301,127,173,320
LOC100644996,113,60,63,99,57,79,68,67,89,60,5,21,13,12,14
LOC100651883,217,202,210,266,202,241,602,588,771,321,52,210,110,102,256
LOC100648335,929,184,761,1084,688,370,1063,860,978,802,43,136,96,104,128
LOC100648226,831,161,1060,600,1171,1435,1004,878,733,1490,6108,2827,3009,3290,2773
LOC100647241,44,6,8,15,14,14,27,17,16,20,21,50,371,29,232
LOC100646769,104,80,100,92,155,172,139,217,90,153,294,306,459,236,380
LOC100651425,264,40,196,177,239,251,82,104,117,150,125,570,207,280,276
LOC100643850,890,27,2357,1679,1190,1759,1669,1246,1484,6667,165,172,108,195,142
LOC100645817,28,14,25,30,47,23,204,151,213,108,9,28,18,25,27
LOC100647504,135,24,192,195,170,172,431,371,472,499,42,144,106,75,121
LOC100642551,686,131,939,539,1096,952,415,333,341,761,1607,1228,1845,2242,1967
LOC100646077,9,6,23,16,11,12,6,7,4,2,34,16,16,22,14
LOC100651602,170,97,249,198,221,194,313,198,348,332,19,175,126,111,146
LOC100643611,322,78,668,356,818,782,105,71,53,178,747,426,742,789,610
LOC100649579,136,348,113,60,322,227,330,709,195,189,1753,3290,2547,1040,831
LOC100644521,200,595,247,267,186,194,2010,2018,2070,933,22,107,96,117,136
LWRh2,177,29,373,193,509,296,165,173,155,362,1008,364,493,950,652
LOC100652097,2453,1512,3878,2599,2722,3057,1650,1092,1312,1673,5193,9158,12421,9120,8280
LOC100642647,73,17,127,98,139,87,55,42,40,71,104,103,104,188,125
LOC100645971,3472,409,3614,3862,2363,2140,3876,3651,6461,2397,109,2118,337,434,1176
LOC100648695,256,77,307,211,220,231,844,647,933,815,19,204,104,120,188
LOC100643208,124,16,238,99,277,248,117,92,73,161,572,257,273,692,483
LOC100644145,4,4,8,13,18,21,19,14,13,6,5,11,13,13,15
LOC100644132,155,6,400,292,171,25,52,67,38,96,24,19,25,32,34
LOC100644401,202,41,440,269,368,372,203,146,157,209,208,309,370,421,346
LOC100649949,62,2,165,118,74,6,25,35,25,33,18,15,21,14,17
LOC100649256,53,4,107,38,138,87,22,31,15,50,588,85,160,312,183
LOC100644261,26,3,62,32,74,52,52,22,28,74,98,49,49,115,81
LOC100651753,205,26,361,143,348,299,114,76,111,140,223,225,173,526,425
LOC100648929,890,250,803,640,797,824,1770,1475,1828,2079,104,555,256,389,564
LOC100648008,261,108,528,367,405,292,391,343,576,514,24,121,83,83,142
LOC100651087,92,47,249,98,224,224,194,144,144,374,223,247,285,658,433
LOC100642961,5,0,1,1,1,5,4,1,3,6,2,1,3,3,3
LOC100650742,1080,276,1904,1110,2030,2180,1086,902,965,1648,3373,2000,3253,3483,2532
LOC100646691,2948,538,4776,3998,5052,6179,3457,2681,2627,5174,9499,10901,23667,9116,10173
LOC100647244,1099,274,1028,791,1034,783,1124,642,506,844,860,659,515,1078,1011
LOC100650854,2682,527,4798,3114,4330,4151,1471,1393,1311,2839,6636,5838,9306,6854,4969
LOC100642297,3779,612,3420,3368,2918,4253,2132,2587,1346,3021,2153,6294,6182,4100,4655
LOC100647556,33,10,57,61,55,60,20,14,22,20,13,80,80,45,96
LOC100642229,256,49,120,94,159,87,343,271,202,527,39,293,84,171,239
LOC100645477,759,71,1184,764,950,1016,496,461,491,698,809,914,1109,947,837
LOC100648167,283,53,396,272,416,410,338,327,334,501,202,432,358,580,464
LOC100650679,306,63,531,224,547,559,153,162,162,266,841,458,880,1075,702
LOC100645632,29,3,90,35,133,63,11,14,7,20,346,50,163,231,133
LOC100651458,741,292,1126,831,1279,1295,1005,965,1249,1352,2028,1104,2086,1785,1520
LOC100648145,136,18,170,95,158,90,183,126,159,183,172,84,100,147,117
LOC100651054,130,44,116,88,76,90,306,258,197,239,39,71,57,33,31
LOC100648831,154,39,242,186,218,304,186,165,170,307,148,227,345,354,305
LOC100648898,12,8,19,10,11,14,31,18,19,22,21,11,39,19,1033
LOC100650663,167,29,335,310,441,815,286,302,137,277,558,719,1143,1014,974
LOC100649206,3306,441,3168,2290,5138,4193,1629,1310,1692,1860,9484,5742,9784,7926,7110
LOC100646150,1035,223,1011,630,1664,2145,487,434,439,792,5390,2274,4769,3630,3185
LOC100650457,176,81,139,124,132,374,102,125,69,89,76,222,280,183,200
LOC100646837,298,53,654,377,798,641,308,233,218,463,826,677,625,936,569
LOC100643731,760,421,43,74,28,1429,34,785,966,117,38,654,11462,156,3666
LOC100646641,155,47,17,17,8,284,13,12,31,13,20,256,6471,58,1508
LOC100642223,736,161,1311,889,1531,1813,741,650,628,1104,2774,1269,2855,1572,1320
LOC100651498,5266,1414,4504,5028,4375,3253,11981,12122,18485,9333,365,3692,1808,1584,2633
LOC100647257,20,10,22,7,10,10,25,15,25,13,17,333,153,393,294
LOC100646270,411,133,648,318,829,911,550,563,416,499,632,3454,2154,12832,8464
LOC100643535,127,14,94,93,73,107,168,72,103,154,30,31,49,26,32
LOC100648779,602,127,972,494,1427,1436,483,368,383,753,4901,1384,1927,2826,1985
LOC100648021,591,235,1010,712,871,779,845,694,885,1156,1261,869,1272,937,856
LOC100644824,1498,234,962,1744,520,610,2037,1697,2519,682,103,427,102,79,233
LOC100649270,10010,470,16751,13616,17773,16818,4185,3323,2575,8875,33991,16221,23849,12777,11218
LOC100651372,14,29,25,8,6,18,62,42,16,35,5,21,11,22,23
LOC100642269,0,0,3,1,2,2,1,1,1,5,1,1,1,4,2
LOC100647975,195,41,356,194,457,443,178,132,134,259,1513,495,584,990,742
LOC100651885,420,200,381,565,291,361,971,896,1538,730,28,275,84,121,193
LOC100642571,1028,464,1306,1212,1126,1096,2970,2269,3171,1884,864,932,840,934,928
LOC100647177,53,18,82,36,113,98,61,36,32,127,231,105,176,642,494
LOC100645845,141,34,287,127,282,239,169,163,205,396,196,392,279,713,563
LOC100643902,115,34,189,119,191,158,171,157,264,261,310,400,250,456,334
LOC100649998,370,95,461,291,553,457,618,529,626,610,453,536,471,762,709
LOC100649827,142,42,170,132,145,165,345,333,375,464,42,155,213,163,273
LOC100643978,118,39,135,88,190,213,174,117,123,331,148,190,204,220,194
LOC100646405,38,9,112,61,120,103,73,73,69,129,278,213,145,382,312
LOC100646351,107,33,211,154,173,206,431,354,408,555,19,107,108,124,148
LOC100645190,9841,102,202,1631,3644,890,913,630,189,53,202,4228,9551,9639,5703
LOC100646968,75,30,64,92,77,97,209,169,185,103,6,67,52,34,44
LOC100643348,5962,1393,11090,4884,11099,9287,2785,2708,2806,5725,19469,15091,21752,25101,21809
LOC100648700,7,0,12,6,9,12,11,12,12,15,7,14,14,26,20
LOC100642722,467,192,438,499,325,348,1874,1881,2438,1083,61,272,123,122,255
LOC100643284,487,149,1339,756,1953,1033,525,453,351,930,3390,1160,1506,3820,3210
